Name,CollegeID,State_Abbreviation,State
Portland State University,783,Oregon,38
University Of Portland,784,Oregon,38
Reed College,785,Oregon,38
Southern Oregon University,786,Oregon,38
Corban University,787,Oregon,38
Willamette University,788,Oregon,38
Western Oregon University,789,Oregon,38
Bryn Athyn College Of The New Church,790,Pennsylvania,39
Albright College,791,Pennsylvania,39
Desales University,792,Pennsylvania,39
Alvernia University,793,Pennsylvania,39
Arcadia University,794,Pennsylvania,39
Bloomsburg University Of Pennsylvania,795,Pennsylvania,39
Bryn Mawr College,796,Pennsylvania,39
Bucknell University,797,Pennsylvania,39
Cabrini College,798,Pennsylvania,39
California University Of Pennsylvania,799,Pennsylvania,39
Carlow University,800,Pennsylvania,39
Carnegie Mellon University,801,Pennsylvania,39
Cedar Crest College,802,Pennsylvania,39
Chestnut Hill College,803,Pennsylvania,39
Clarion University Of Pennsylvania,804,Pennsylvania,39
Delaware Valley College,805,Pennsylvania,39
Drexel University,806,Pennsylvania,39
Duquesne University,807,Pennsylvania,39
East Stroudsburg University Of Pennsylvania,808,Pennsylvania,39
Eastern University,809,Pennsylvania,39
Edinboro University Of Pennsylvania,810,Pennsylvania,39
Gannon University,811,Pennsylvania,39
Geneva College,812,Pennsylvania,39
Gwynedd Mercy University,813,Pennsylvania,39
Haverford College,814,Pennsylvania,39
Holy Family University,815,Pennsylvania,39
Immaculata University,816,Pennsylvania,39
Indiana University Of Pennsylvania-Main Campus,817,Pennsylvania,39
Keystone College,818,Pennsylvania,39
Kutztown University Of Pennsylvania,819,Pennsylvania,39
La Roche College,820,Pennsylvania,39
La Salle University,821,Pennsylvania,39
Lebanon Valley College,822,Pennsylvania,39
Lehigh University,823,Pennsylvania,39
Lincoln University Of Pennsylvania,824,Pennsylvania,39
Lock Haven University,825,Pennsylvania,39
Mansfield University Of Pennsylvania,826,Pennsylvania,39
Marywood University,827,Pennsylvania,39
Mercyhurst University,828,Pennsylvania,39
Millersville University Of Pennsylvania,829,Pennsylvania,39
Misericordia University,830,Pennsylvania,39
Mount Aloysius College,831,Pennsylvania,39
Muhlenberg College,832,Pennsylvania,39
Neumann University,833,Pennsylvania,39
Pennsylvania State University-Penn State Erie-Behrend College,834,Pennsylvania,39
Pennsylvania State University-Penn State Harrisburg,835,Pennsylvania,39
